variable_name,CONSIGN,event_definition,coding_system,code_name,concept,concept_name,tags,system,event_abbreviation,type,code_rounding_issue,code_issue_dot,code,event_match_name
B_SICKLECELL_COV,yes,Sickle cell disease,ICD9CM,Sickle-cell trait,,,narrow,B,SICKLECELL,COV,282.5,282.5,282.5,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,ICD9CM,Sickle-cell-Hb-C disease with crisis,,,narrow,B,SICKLECELL,COV,282.64,282.64,282.64,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,ICD9CM,Sickle-cell-Hb-C disease without crisis,,,narrow,B,SICKLECELL,COV,282.63,282.63,282.63,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,ICPC2P,Anaemia-sickle cell,C0002895,Anemia- Sickle Cell,narrow,B,SICKLECELL,COV,B78,B78,B78,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,ICPC2P,Anaemia-sickle cell,C0002895,Anemia- Sickle Cell,narrow,B,SICKLECELL,COV,B78002,B78002,B78002,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,AS - Sickle cell trait,,,narrow,B,SICKLECELL,COV,2760081000006117,2760081000006117,2760081000006117,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Antenatal screening shows carrier of significant haemoglobinopathy including sickle cell or thalassaemia,,,possible,B,SICKLECELL,COV,1753161000006112,1753161000006112,1753161000006112,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Antenatal screening shows iron deficiency or possible non significant alpha thalassaemia,,,possible,B,SICKLECELL,COV,1701121000006111,1701121000006111,1701121000006111,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Antenatal screening shows significant carrier of sickle cell or thalassaemia,,,possible,B,SICKLECELL,COV,1701011000006119,1701011000006119,1701011000006119,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Carrier of alpha thalassaemia,,,possible,B,SICKLECELL,COV,8021041000006117,8021041000006117,8021041000006117,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Carrier of beta thalassaemia,,,possible,B,SICKLECELL,COV,8021001000006119,8021001000006119,8021001000006119,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Carrier of sickle cell gene mutation,,,possible,B,SICKLECELL,COV,1866961000006110,1866961000006110,1866961000006110,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,H-O- sickle cell disease,,,narrow,B,SICKLECELL,COV,940531000006110,940531000006110,940531000006110,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Haemoglobin C,,,narrow,B,SICKLECELL,COV,3507041000006119,3507041000006119,3507041000006119,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Haemoglobin C disease,,,narrow,B,SICKLECELL,COV,813711000006117,813711000006117,813711000006117,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Haemoglobin C trait,,,narrow,B,SICKLECELL,COV,503178018,503178018,503178018,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Haemoglobin S,,,narrow,B,SICKLECELL,COV,3311281000006114,3311281000006114,3311281000006114,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Haemoglobin S genotype,,,possible,B,SICKLECELL,COV,456171019,456171019,456171019,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Haemoglobin S level,,,possible,B,SICKLECELL,COV,406315016,406315016,406315016,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Haemoglobin S trait,,,narrow,B,SICKLECELL,COV,2760061000006110,2760061000006110,2760061000006110,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Haemoglobin S-C disease,,,narrow,B,SICKLECELL,COV,3070771000006118,3070771000006118,3070771000006118,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Haemoglobin S-D Punjab disease,,,narrow,B,SICKLECELL,COV,2907441000006113,2907441000006113,2907441000006113,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Haemoglobin S-E disease,,,narrow,B,SICKLECELL,COV,3260091000006119,3260091000006119,3260091000006119,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Haemoglobin S-beta thalassaemia,,,narrow,B,SICKLECELL,COV,141261000006112,141261000006112,141261000006112,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Haemoglobin SS disease with crisis,,,narrow,B,SICKLECELL,COV,6906631000006115,6906631000006115,6906631000006115,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Haemoglobin SS disease without crisis,,,narrow,B,SICKLECELL,COV,6888451000006115,6888451000006115,6888451000006115,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Haemoglobin Sawara level,,,possible,B,SICKLECELL,COV,2154203016,2154203016,2154203016,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Hemoglobin S sickling disorder with crisis,,,narrow,B,SICKLECELL,COV,6904721000006118,6904721000006118,6904721000006118,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,History of sickle cell anaemia,,,narrow,B,SICKLECELL,COV,2816277010,2816277010,2816277010,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,NHS Sickle Cell and Thalassaemia Screening Programme result are consistent with delta-beta thalassaemia carrier,,,possible,B,SICKLECELL,COV,12735641000006116,12735641000006116,12735641000006116,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,NHS Sickle Cell and Thalassaemia Screening Programme result consistent with Hb S (haemoglobin S) carrier,,,possible,B,SICKLECELL,COV,12735591000006114,12735591000006114,12735591000006114,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,NHS Sickle Cell and Thalassaemia Screening Programme result consistent with beta thalassaemia carrier,,,possible,B,SICKLECELL,COV,12735631000006114,12735631000006114,12735631000006114,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Newborn blood spot test outcome status (sickle cell disease),,,narrow,B,SICKLECELL,COV,1874281000006113,1874281000006113,1874281000006113,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Proliferative retinopathy due to sickle cell disease,,,narrow,B,SICKLECELL,COV,297780010,297780010,297780010,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,RBC-s - sickle cells present,,,narrow,B,SICKLECELL,COV,2164217010,2164217010,2164217010,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Red cell haemoglobin S estimation,,,possible,B,SICKLECELL,COV,457091016,457091016,457091016,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Red cell haemoglobin S estimation,,,possible,B,SICKLECELL,COV,6027781000006113,6027781000006113,6027781000006113,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Referral to sickle cell and thalassaemia service,,,possible,B,SICKLECELL,COV,2297161000000112,2297161000000112,2297161000000112,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Referral to sickle cell specialist nurse,,,possible,B,SICKLECELL,COV,2380521000000115,2380521000000115,2380521000000115,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Result consistent with haemoglobin C carrier,,,possible,B,SICKLECELL,COV,2388251000000113,2388251000000113,2388251000000113,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Seen in Sickle Cell and Thalassaemia clinic,,,possible,B,SICKLECELL,COV,1758731000006113,1758731000006113,1758731000006113,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Seen in sickle cell and thalassaemia clinic,,,possible,B,SICKLECELL,COV,1723221000000117,1723221000000117,1723221000000117,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Seen in sickle cell and thalassemia clinic,,,possible,B,SICKLECELL,COV,7597991000006117,7597991000006117,7597991000006117,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Sickle cell,,,narrow,B,SICKLECELL,COV,3308541000006113,3308541000006113,3308541000006113,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Sickle cell anaemia,,,narrow,B,SICKLECELL,COV,141181000006110,141181000006110,141181000006110,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Sickle cell anaemia with crisis,,,narrow,B,SICKLECELL,COV,141211000006114,141211000006114,141211000006114,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Sickle cell anaemia with haemoglobin C disease,,,narrow,B,SICKLECELL,COV,141221000006118,141221000006118,141221000006118,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Sickle cell anaemia with haemoglobin E disease,,,narrow,B,SICKLECELL,COV,3260101000006113,3260101000006113,3260101000006113,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Sickle cell anemia crisis,,,narrow,B,SICKLECELL,COV,6904731000006115,6904731000006115,6904731000006115,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Sickle cell anemia with crisis,,,narrow,B,SICKLECELL,COV,6906661000006112,6906661000006112,6906661000006112,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Sickle cell crisis,,,narrow,B,SICKLECELL,COV,6906651000006110,6906651000006110,6906651000006110,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Sickle cell disease,,,narrow,B,SICKLECELL,COV,6905701000006112,6905701000006112,6905701000006112,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Sickle cell disease annual review,,,narrow,B,SICKLECELL,COV,2005411000006110,2005411000006110,2005411000006110,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Sickle cell disease without crisis,,,narrow,B,SICKLECELL,COV,6888471000006113,6888471000006113,6888471000006113,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Sickle cell retinopathy,,,narrow,B,SICKLECELL,COV,2684701000006112,2684701000006112,2684701000006112,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Sickle cell screening related finding,,,narrow,B,SICKLECELL,COV,2422651000000111,2422651000000111,2422651000000111,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Sickle cell trait,,,narrow,B,SICKLECELL,COV,141271000006117,141271000006117,141271000006117,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Sickle cell-beta-thalassaemia,,,narrow,B,SICKLECELL,COV,4392911000006118,4392911000006118,4392911000006118,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Sickle cell-haemoglobin C disease,,,narrow,B,SICKLECELL,COV,3070701000006112,3070701000006112,3070701000006112,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Sickle cell-haemoglobin SS disease,,,narrow,B,SICKLECELL,COV,12218521000006116,12218521000006116,12218521000006116,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Sickling disorder due to haemoglobin S,,,narrow,B,SICKLECELL,COV,6905681000006114,6905681000006114,6905681000006114,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Vaso-occlusive pain episode in sickle cell disease,,,narrow,B,SICKLECELL,COV,12084841000006111,12084841000006111,12084841000006111,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,Vasoocclusive pain episode in sickle cell disease,,,narrow,B,SICKLECELL,COV,12084861000006110,12084861000006110,12084861000006110,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,MEDCODEID,[X]Other thalassaemias,,,possible,B,SICKLECELL,COV,294586010,294586010,294586010,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,RCD2,Haemoglobin-D disease,C0272080,Hemoglobin D disease,narrow,B,SICKLECELL,COV,D1074,D1074,D1074,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,RCD2,Sickle-cell Hb-C disease,C0019034,Hemoglobin SC Disease,narrow,B,SICKLECELL,COV,D1063,D1063,D1063,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,RCD2,Sickle-cell anaemia,C0002895,Anemia- Sickle Cell,narrow,B,SICKLECELL,COV,D106.,D106.,D106.,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,RCD2,Sickle-cell anaemia NOS,C0002895,Anemia- Sickle Cell,narrow,B,SICKLECELL,COV,D106z,D106z,D106z,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,RCD2,Sickle-cell trait,C0037054,Sickle Cell Trait,narrow,B,SICKLECELL,COV,D105.,D105.,D105.,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,RCD2,Sickle-cell unspecified type,C0002895,Anemia- Sickle Cell,narrow,B,SICKLECELL,COV,D1060,D1060,D1060,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,RCD2,Sickle-cell with crisis,C0238425,Hemoglobin SS disease with crisis,narrow,B,SICKLECELL,COV,D1062,D1062,D1062,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,SCTSPA,Thalassemia minor (disorder),,,narrow,B,SICKLECELL,COV,68875002,68875002,68875002,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,SCTSPA,anemia de células drepanocíticas,C0002895,Anemia- Sickle Cell,narrow,B,SICKLECELL,COV,80046004,80046004,80046004,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,SCTSPA,anemia de células falciformes con crisis,C0238425,Hemoglobin SS disease with crisis,narrow,B,SICKLECELL,COV,72279006,72279006,72279006,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,SCTSPA,anemia de células falciformes de tipo no especificado,C0002895,Anemia- Sickle Cell,narrow,B,SICKLECELL,COV,191195005,191195005,191195005,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,SCTSPA,anemia de células falciformes sin crisis,C0272078,Hemoglobin SS disease without crisis,narrow,B,SICKLECELL,COV,21976009,21976009,21976009,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,SCTSPA,anemia de células falciformes- SAI,C0002895,Anemia- Sickle Cell,narrow,B,SICKLECELL,COV,191199004,191199004,191199004,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,SCTSPA,anemia drepanocítica-enfermedad por hemoglobina C con crisis,C1260398,Sickle cell-hemoglobin C disease with crisis,narrow,B,SICKLECELL,COV,417517009,417517009,417517009,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,SCTSPA,drepanocitosis con crisis,C0238425,Hemoglobin SS disease with crisis,narrow,B,SICKLECELL,COV,191197002,191197002,191197002,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,SCTSPA,drepanocitosis por hemoglobina S,C0002895,Anemia- Sickle Cell,narrow,B,SICKLECELL,COV,417357006,417357006,417357006,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,SCTSPA,enfermedad de células falciformes - hemoglobina C,C0019034,Hemoglobin SC Disease,narrow,B,SICKLECELL,COV,35434009,35434009,35434009,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,SCTSPA,enfermedad de la hemoglobina SS sin crisis hemolítica,C0272078,Hemoglobin SS disease without crisis,narrow,B,SICKLECELL,COV,416180004,416180004,416180004,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,SCTSPA,enfermedad de la hemoglobina SS-células falciformes,C0002895,Anemia- Sickle Cell,narrow,B,SICKLECELL,COV,127040003,127040003,127040003,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,SCTSPA,enfermedad por hemoglobina S - F,C2242796,Sickle cell-thalassemia disease,narrow,B,SICKLECELL,COV,36472007,36472007,36472007,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,SCTSPA,enfermedad por hemoglobina SS con crisis hemolítica,C0238425,Hemoglobin SS disease with crisis,narrow,B,SICKLECELL,COV,417425009,417425009,417425009,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,SNOMEDCT_US,Beta trait thalassaemia,,,narrow,B,SICKLECELL,COV,269175006,269175006,269175006,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,SNOMEDCT_US,Haemoglobin S disease,C0002895,Anemia- Sickle Cell,narrow,B,SICKLECELL,COV,80046004,80046004,80046004,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,SNOMEDCT_US,Haemoglobin S disease with crisis,C0238425,Hemoglobin SS disease with crisis,narrow,B,SICKLECELL,COV,72279006,72279006,72279006,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,SNOMEDCT_US,Haemoglobin S disease without crisis,C0272078,Hemoglobin SS disease without crisis,narrow,B,SICKLECELL,COV,21976009,21976009,21976009,B_SICKLECELL_COV
B_SICKLECELL_COV,yes,Sickle cell disease,SNOMEDCT_US,Hemoglobin SS disease with crisis,C0238425,Hemoglobin SS disease with crisis,narrow,B,SICKLECELL,COV,417425009,417425009,417425009,B_SICKLECELL_COV
